 ========= SOHO/LASCO CME CATALOG==========      LAST UPDATED: 2026/01/30 16:07
 Date       Time     Central  Width  Linear   2nd order speed      Accel     Mass      Kinetic    MPA   Remarks
                        PA           Speed  initial final   20R                        Energy                 

2023/09/22  09:48:05    334     55    199       0    395    377      6.2    -------    -------    341   Fixed the MVI roll angle issue on 2026-01-30
2023/09/22  17:00:05    283     60    691     687    696    701      0.8*   -------    -------    299   Fixed the MVI roll angle issue on 2026-01-30
2023/09/22  19:00:06    199     44    384     373    396    416      1.4*   -------    -------    201   Fixed the MVI roll angle issue on 2026-01-30
2023/09/22  20:12:06    272     57    221     127    324    980     38.8*   -------    -------    267   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event; Only C2
2023/09/22  21:24:05     92     84    429     464    394    340     -4.2*   -------    -------    108   Fixed the MVI roll angle issue on 2026-01-30
2023/09/22  22:00:05    189     88    379     314    450    430      3.5    -------    -------    179   Fixed the MVI roll angle issue on 2026-01-30
2023/09/23  11:48:06    281     48    237     212    264    465      7.1*   -------    -------    292   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event; Only C2
2023/09/23  13:25:33    188     26    280     244    315    665     15.8*   -------    -------    187   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event; Only C2
2023/09/24  02:00:05    107     14    336     264    410    519      8.9*   -------    -------    110   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event
2023/09/24  07:36:07    291    121    426     531    316    211     -9.7*   -------    -------    292   Fixed the MVI roll angle issue on 2026-01-30; Partial Halo
2023/09/24  09:48:06   Halo    360    663     378    955    880     26.0    -------    -------    314   Fixed the MVI roll angle issue on 2026-01-30
2023/09/24  15:24:05    276     90    614     582    647    656      3.8*   -------    -------    284   Fixed the MVI roll angle issue on 2026-01-30
2023/09/24  18:24:05   Halo    360    331     377    277    235     -3.6*   -------    -------    285   Fixed the MVI roll angle issue on 2026-01-30
2023/09/25  09:36:06    163     60    130     164     90      0     -7.4*   -------    -------    167   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Only C2
2023/09/25  23:54:06    306     15    384     248    504    553     12.2*   -------    -------    309   Fixed the MVI roll angle issue on 2026-01-30; Very Poor Event
2023/09/27  03:24:05    337     20    185     175    195    266      1.7*   -------    -------    335   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/27  03:24:05    249     22    263     249    277    306      1.3*   -------    -------    239   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
2023/09/27  03:48:09     43     42    235     161    315    629     15.4*   -------    -------     44   Fixed the MVI roll angle issue on 2026-01-30; Poor Event; Only C2
2023/09/27  06:24:05     35     29    233     234    232    228     -0.1*   -------    -------     32   Fixed the MVI roll angle issue on 2026-01-30; Poor Event
